School Name,City,Owners Name,Contact Number,Student Strength as on May 2019,% of Education Service Fee
"GDGPS , PASCHIM VIHAR",Delhi,Mr. Tarun Sachdeva ,9830111111,1,upto 500 nil
"GDGPS , KARKARDOMA",Delhi,Mr. Govind Maheshwari &                              Mr. Pinky ,9830111112,2,upto 500 nil
"THE LORD CHAITANAYA EDUCATION, SOCIETY, ROHINI SECTOR 22",Delhi,Mr. Vipul Garg ,9830111113,3,upto 500 nil
"GDGPS, MODEL TOWN",Delhi,Mr. Adhir Sachdeva ,9830111114,4,upto 500 nil
"ASSOCIATION OF S KIRPAL EDUCATION SOCIETY, SECTOR 9 ROHINI",Delhi,Mr. Kulwant Rana &              Ms. Anita Rana ,9830111115,5,upto 500 nil
"GDGPS, SARITA VIHAR",Delhi,Mr. Vipul Garg ,9830111116,6,upto 500 nil
"GDGPS, DWARKA",Delhi,Mr. Manoj Singh ,9830111117,7,upto 500 nil
"GDGPS, GURGAON SECTOR 48",HARYANA,Mr. Vipul Garg ,9830111118,8,upto 500 nil
"GDGPS, JHAJJAR",HARYANA,Mr. Prince Solanki ,9830111119,9,upto 500 nil
"DAULATRAM GENERAL EDUCATION SOCIETY, DLF PHASE 3",HARYANA,Mr. Vineet ,9830111120,10,upto 500 nil
"RATAN LAL JINDAL EDUCATIONAL TRUST, SONEPAT",HARYANA,Mr. Yogesh Jindal                      Mr. Rakesh Gupat ,9830111121,11,upto 500 nil
"SHRI BALAJI EDUCATIONAL TRUST, SIRSA",HARYANA,Mr. Murarilal ,9830111122,12,upto 500 nil
"GDGPS, PANIPAT",HARYANA,Mr. O. P. Jain                          Mr. Atul Jain ,9830111123,13,upto 500 nil
"GDGPS, JIND",HARYANA,Dr. Prabhat Dalal ,9830111124,14,upto 500 nil
"GDGPS, HISSAR",HARYANA,Mr. Sunil Sharma ,9830111125,15,upto 500 nil
"GDGPS, ROHTAK",HARYANA,Mr. Karamveer Maina ,9830111126,16,upto 500 nil
"GDGPS, REWARI",HARYANA,Mr. Shashi Singla ,9830111127,17,upto 500 nil
"GDGPS, BAHADURGARH",HARYANA,Mr. Rakesh Joon ,9830111128,18,upto 500 nil
"SIGNATURE, SOHNA ",HARYANA,,9830111129,19,upto 500 nil
"GDGPS, FARIDABAD",HARYANA,Mr. Kamlesh Verma ,9830111130,20,upto 500 nil
